#;NAME;;P0;;;P1;;;F0;;;F1;;;AGE;BSURF;EDOT;
;;;(s);;;;;;(Hz);;;(s^-2);;;(Yr);(G);(ergs/s);
59;J0100-7211;lfmp02;8.020392;9.0e-06;mgr+05;1.88E-11;8.0e-13;mgr+05;0.12468219;1.4e-07;mgr+05;-2.92E-13;1.3e-14;mgr+05;6.76e+03;3.93e+14;1.4e+33;
60;J0100+8023;scb+19;1.4936009186;2.0e-10;tbc+20;0.3543E-15;6.0e-19;tbc+20;0.66952288764;9.0e-11;tbc+20;-1.588E-16;3.0e-19;tbc+20;6.68e+07;7.36e+11;4.2e+30;
61;J0101-6422;kcj+12;0.0025731519721683;2.0e-16;kcj+12;5.16E-21;3.0e-23;kcj+12;388.62842568810;4.0e-11;kcj+12;-7.79E-16;5.0e-18;kcj+12;7.9e+09;1.17e+08;1.2e+34;
62;J0102+4839;hrm+11;0.00296;0;hrm+11;*;0;*;337.837838;0;hrm+11;*;0;*;*;*;*;
63;B0059+65;dbtb82;1.679164229064;1.2e-11;hlk+04;5.95492E-15;9.0e-20;hlk+04;0.595534363281;4.0e-12;hlk+04;-2.11198E-15;3.0e-20;hlk+04;4.47e+06;3.2e+12;5.0e+31;
64;J0103+54;kkl+15;0.354304;6.0e-06;kkl+15;*;0;*;2.82243;5.0e-05;kkl+15;*;0;*;*;*;*;
65;J0106+4855;pga+12;0.0831573050050;6.0e-13;pga+12;4.2792E-16;5.0e-20;pga+12;12.02540173638;8.0e-11;pga+12;-0.61881E-13;7.0e-18;pga+12;3.08e+06;1.91e+11;2.9e+34;
66;J0107+1322;scb+19;1.1973833938;1.0e-10;tbc+20;0.687E-15;3.0e-18;tbc+20;0.83515439180;7.0e-11;tbc+20;-4.79E-16;3.0e-18;tbc+20;2.76e+07;9.18e+11;1.6e+31;
67;J0108-1431;tnj+94;0.807564614019;2.0e-11;hlk+04;7.704E-17;1.2e-19;hlk+04;1.23829100810;3.0e-11;hlk+04;-1.1813E-16;1.8e-19;hlk+04;1.66e+08;2.52e+11;5.8e+30;
68;B0105+65;dls72;1.2836598429;5.0e-10;hlk+04;1.3051E-14;3.0e-18;hlk+04;0.7790225779;3.0e-10;hlk+04;-7.9203E-15;1.8e-18;hlk+04;1.56e+06;4.14e+12;2.4e+32;
69;B0105+68;dtws85;1.071118109859;5.0e-12;hlk+04;4.809E-17;4.0e-20;hlk+04;0.933603858245;4.0e-12;hlk+04;-4.192E-17;3.0e-20;hlk+04;3.53e+08;2.3e+11;1.5e+30;
70;J0111+6624;slr+14;4.3018721008;4.0e-10;lsk+18;8.36E-15;1.7e-16;lsk+18;0.23245693423;2.0e-11;lsk+18;-4.52E-16;9.0e-18;lsk+18;8.15e+06;6.07e+12;4.1e+30;
