#;NAME;;P0;;;P1;;;F0;;;F1;;;AGE;BSURF;EDOT;
;;;(s);;;;;;(Hz);;;(s^-2);;;(Yr);(G);(ergs/s);
2124;J1846-0749;lfl+06;0.350109572852;4.0e-12;lfl+06;1.2616E-15;4.0e-19;lfl+06;2.85624866482;3.0e-11;lfl+06;-1.0292E-14;3.0e-18;lfl+06;4.4e+06;6.73e+11;1.2e+33;
2125;J1846-07492;kel+09;0.861379642641;1.5e-11;kel+09;5.187E-15;3.0e-18;kel+09;1.16092829514;3.0e-11;kel+09;-6.991E-15;5.0e-18;kel+09;2.63e+06;2.14e+12;3.2e+32;
2126;J1846+0919;sdz+10;0.2255514533;3.0e-10;sdz+10;9.93E-15;3.0e-17;sdz+10;4.433578172;4.0e-09;sdz+10;-0.1951E-12;5.0e-16;sdz+10;3.6e+05;1.51e+12;3.4e+34;
2127;J1846-4249;tjb+13;2.273;0;tjb+13;*;0;*;0.439947;0;tjb+13;*;0;*;*;*;*;
2128;J1846-7403;jbo+09;4.8788385261;5.0e-10;jbo+09;6.06E-15;1.0e-16;jbo+09;0.20496681631;3.0e-11;jbo+09;-2.55E-16;5.0e-18;jbo+09;1.28e+07;5.5e+12;2.1e+30;
2129;J1847-0130;msk+03;6.7070457241;9.0e-10;hfs+04;1.2749E-12;3.0e-16;hfs+04;0.149096940909;1.9e-11;hfs+04;-2.8342E-14;6.0e-18;hfs+04;8.33e+04;9.36e+13;1.7e+32;
2130;B1844-04;dlp70;0.597808754148;3.0e-12;jbv+19;5.169112E-14;1.8e-19;jbv+19;1.672775771619;7.0e-12;jbv+19;-144.6410E-15;5.0e-19;jbv+19;1.83e+05;5.63e+12;9.6e+33;
2131;J1847-0427;ncb+15;0.25924664288;2.0e-11;ncb+15;5.9E-18;5.0e-19;ncb+15;3.8573305671;3.0e-10;ncb+15;-8.8E-17;8.0e-18;ncb+15;6.96e+08;3.96e+10;1.3e+31;
2132;J1847-0438;mhl+02;0.95799116473;3.0e-11;mhl+02;1.0933E-14;9.0e-18;mhl+02;1.04385096316;3.0e-11;mhl+02;-1.1913E-14;9.0e-18;mhl+02;1.39e+06;3.27e+12;4.9e+32;
2133;J1847-0443;hfs+04;0.340832130441;1.4e-11;hfs+04;2.83E-17;4.0e-19;hfs+04;2.93399568493;1.2e-10;hfs+04;-2.44E-16;3.0e-18;hfs+04;1.91e+08;9.95e+10;2.8e+31;
2134;J1847-0605;mhl+02;0.778164353310;1.9e-11;mhl+02;4.645E-15;7.0e-18;mhl+02;1.28507557015;3.0e-11;mhl+02;-7.671E-15;1.1e-17;mhl+02;2.65e+06;1.92e+12;3.9e+32;
2135;J1848-0023;hfs+04;0.53762373255;9.0e-11;hfs+04;1.610E-15;1.8e-17;hfs+04;1.8600369356;3.0e-10;hfs+04;-5.57E-15;6.0e-17;hfs+04;5.29e+06;9.41e+11;4.1e+32;
2136;J1848-0055;hfs+04;0.27455668472;7.0e-11;hfs+04;1.35E-15;3.0e-17;hfs+04;3.6422351217;8.0e-10;hfs+04;-1.79E-14;3.0e-16;hfs+04;3.22e+06;6.16e+11;2.6e+33;
2137;B1845-01;smb71;0.65943205053;3.0e-11;hlk+04;5.25182E-15;1.4e-19;hlk+04;1.51645647068;5.0e-11;hlk+04;-1.20773E-14;3.0e-19;hlk+04;1.99e+06;1.88e+12;7.2e+32;
2138;J1848+0351;nab+13;0.191442663494;2.0e-12;nab+13;0.0673E-15;1.0e-19;nab+13;5.22349606796;6.0e-11;nab+13;-1.836E-15;3.0e-18;nab+13;4.51e+07;1.15e+11;3.8e+32;
2139;J1848-0511;hfs+04;1.6371290072;6.0e-10;hfs+04;8.863E-15;1.1e-17;hfs+04;0.61082541181;1.9e-10;hfs+04;-3.307E-15;4.0e-18;hfs+04;2.93e+06;3.85e+12;8.0e+31;
2140;J1848-0601;lfl+06;0.225004475404;4.0e-12;lfl+06;2.871E-16;4.0e-19;lfl+06;4.44435604316;6.0e-11;lfl+06;-5.671E-15;7.0e-18;lfl+06;1.24e+07;2.57e+11;1.0e+33;
2141;J1848+0604;lxf+05;2.21860264699;3.0e-11;lxf+05;3.736E-15;6.0e-18;lxf+05;0.450734159790;7.0e-12;lxf+05;-7.590E-16;1.3e-18;lxf+05;9.41e+06;2.91e+12;1.4e+31;
2142;J1848+0647;fcwa95;0.5059567391;2.0e-10;lwf+04;8.7516E-15;1.0e-19;lwf+04;1.9764535636;8.0e-10;lwf+04;-3.41870E-14;4.0e-19;lwf+04;9.16e+05;2.13e+12;2.7e+33;
2143;J1848+0826;nft95;0.32866472679;2.0e-11;cn95;2.721E-16;6.0e-19;cn95;3.04261430719;1.9e-10;cn95;-2.519E-15;6.0e-18;cn95;1.91e+07;3.03e+11;3.0e+32;
2144;J1848-1150;lfl+06;1.31221843801;3.0e-11;lfl+06;1.434E-15;3.0e-18;lfl+06;0.762068243394;1.5e-11;lfl+06;-8.327E-16;1.7e-18;lfl+06;1.45e+07;1.39e+12;2.5e+31;
2145;J1848+12;ebvb01;0.75473;7.0e-05;ebvb01;*;0;*;1.32498;1.3e-04;ebvb01;*;0;*;*;*;*;
2146;J1848-1243;mll+06;0.41438335440;2.0e-11;jcs+17;0.4405E-15;8.0e-19;jcs+17;2.41322434741;1.2e-10;jcs+17;-2.565E-15;5.0e-18;jcs+17;1.49e+07;4.32e+11;2.4e+32;
2147;J1848-1414;mld+96;0.297769547307;3.0e-12;hlk+04;1.409E-17;3.0e-20;hlk+04;3.35830177748;3.0e-11;hlk+04;-1.589E-16;3.0e-19;hlk+04;3.35e+08;6.55e+10;2.1e+31;
2148;J1848+1516;mhl+18;2.23376977466;5.0e-11;mbc+20;1.6813E-15;8.0e-19;mbc+20;0.447673708967;1.1e-11;mbc+20;-3.3695E-16;1.7e-19;mbc+20;2.11e+07;1.96e+12;6.0e+30;
2149;B1845-19;mlt+78;4.30818959857;4.0e-11;hlk+04;2.328195E-14;1.7e-19;hlk+04;0.2321160610787;1.8e-12;hlk+04;-1.254382E-15;9.0e-21;hlk+04;2.93e+06;1.01e+13;1.1e+31;
2150;J1849-0001;ghtm11;0.038522586319205;1.5e-14;bhe+19;1.415651E-14;1.1e-19;bhe+19;25.958797047369;1.1e-11;bhe+19;-9.53949E-12;8.0e-17;bhe+19;4.31e+04;7.47e+11;9.8e+36;
2151;J1849-0040;hfs+04;0.67248060717;1.4e-10;hfs+04;1.114E-14;4.0e-17;hfs+04;1.4870317290;3.0e-10;hfs+04;-2.464E-14;7.0e-17;hfs+04;9.56e+05;2.77e+12;1.4e+33;
2152;J1849+0127;mhl+02;0.54215548135;9.0e-11;mhl+02;2.797E-14;6.0e-17;mhl+02;1.8444893290;3.0e-10;mhl+02;-9.515E-14;1.8e-16;mhl+02;3.07e+05;3.94e+12;6.9e+33;
2153;J1849-0317;mhl+02;0.66840782878;4.0e-11;mhl+02;2.2030E-14;1.8e-17;mhl+02;1.49609259039;8.0e-11;mhl+02;-4.931E-14;4.0e-17;mhl+02;4.81e+05;3.88e+12;2.9e+33;
2154;J1849+0409;lfl+06;0.761194081655;1.1e-11;lfl+06;2.15864E-14;1.2e-18;lfl+06;1.313725400789;1.8e-11;lfl+06;-3.72555E-14;2.0e-18;lfl+06;5.59e+05;4.1e+12;1.9e+33;
2155;J1849-0614;hfs+04;0.95338418817;3.0e-11;hfs+04;5.3889E-14;6.0e-18;hfs+04;1.04889509644;3.0e-11;hfs+04;-5.9288E-14;6.0e-18;hfs+04;2.8e+05;7.25e+12;2.5e+33;
2156;B1846-06;dls72;1.451319471078;1.1e-11;hlk+04;4.623982E-14;1.1e-19;hlk+04;0.689028170522;5.0e-12;hlk+04;-2.195281E-14;5.0e-20;hlk+04;4.97e+05;8.29e+12;6.0e+32;
2157;J1849+2423;mca00;0.27564149867101;7.0e-14;clm+05;0.152582E-15;4.0e-21;clm+05;3.6279007508719;1.0e-12;clm+05;-2.00823E-15;6.0e-20;clm+05;2.86e+07;2.08e+11;2.9e+32;
2158;J1849+2559;scb+19;0.5192634055906;6.0e-13;mbc+20;1.798E-16;3.0e-19;mbc+20;1.925804879053;3.0e-12;mbc+20;-6.668E-16;1.2e-18;mbc+20;4.58e+07;3.09e+11;5.1e+31;
2159;J1850-0006;kel+09;2.1914979680;5.0e-10;kel+09;4.32E-15;5.0e-17;kel+09;0.45630888762;1.1e-10;kel+09;-9.00E-16;1.1e-17;kel+09;8.04e+06;3.11e+12;1.6e+31;
2160;J1850-0026;kel+09;0.1666339242514;2.0e-12;kel+09;39.1017E-15;2.0e-18;kel+09;6.00117895856;8.0e-11;kel+09;-1.40821E-12;8.0e-17;kel+09;6.75e+04;2.58e+12;3.3e+35;
2161;J1850+0026;mhl+02;1.08184378189;3.0e-11;mhl+02;3.59E-16;1.1e-17;mhl+02;0.924347874193;2.0e-11;mhl+02;-3.07E-16;9.0e-18;mhl+02;4.77e+07;6.31e+11;1.1e+31;
2162;J1850-0031;hfs+04;0.73418485978;1.0e-10;hfs+04;1.263E-15;6.0e-18;hfs+04;1.36205478318;1.8e-10;hfs+04;-2.344E-15;1.0e-17;hfs+04;9.21e+06;9.75e+11;1.3e+32;
2163;J1850+0124;csl+12;0.003559763768043;6.0e-15;csl+12;1.09E-20;6.0e-22;csl+12;280.9175173300;4.0e-10;csl+12;-8.6E-16;4.0e-17;csl+12;5.18e+09;1.99e+08;9.5e+33;
2164;J1850+0242;skl+15;0.00447986404710;7.0e-14;skl+15;1.63E-19;5.0e-21;skl+15;223.221059721;3.0e-09;skl+15;-8.1E-15;2.0e-16;skl+15;4.37e+08;8.64e+08;7.1e+34;
2165;J1850+0423;nab+13;0.290716217162;3.0e-12;nab+13;0.0914E-15;2.0e-19;nab+13;3.43978058659;4.0e-11;nab+13;-1.081E-15;3.0e-18;nab+13;5.04e+07;1.65e+11;1.5e+32;
2166;B1848+13;stwd85;0.3455818980725;4.0e-13;hlk+04;1.492424E-15;4.0e-21;hlk+04;2.893670083930;3.0e-12;hlk+04;-1.249655E-14;3.0e-20;hlk+04;3.67e+06;7.27e+11;1.4e+33;
2167;J1850+15;bb10;1.383965;3.0e-06;bb10;*;0;*;0.7225616;1.6e-06;bb10;*;0;*;*;*;*;
2168;J1851-0029;kel+09;0.518721435025;9.0e-12;kel+09;4.7386E-15;1.1e-18;kel+09;1.92781699864;4.0e-11;kel+09;-1.7611E-14;5.0e-18;kel+09;1.73e+06;1.59e+12;1.3e+33;
2169;J1851-0053;hfs+04;1.40906524128;1.6e-10;hfs+04;8.7E-16;8.0e-17;hfs+04;0.70969034698;8.0e-11;hfs+04;-4.4E-16;4.0e-17;hfs+04;2.56e+07;1.12e+12;1.2e+31;
2170;J1851-0114;lfl+06;0.95318168518;4.0e-11;lfl+06;2.483E-15;4.0e-18;lfl+06;1.04911793370;4.0e-11;lfl+06;-2.733E-15;4.0e-18;lfl+06;6.08e+06;1.56e+12;1.1e+32;
2171;J1851+0118;hfs+04;0.90697686069;1.4e-10;hfs+04;1.36705E-13;9.0e-18;hfs+04;1.10256396094;1.7e-10;hfs+04;-1.66185E-13;1.0e-17;hfs+04;1.05e+05;1.13e+13;7.2e+33;
2172;J1851+0233;lbh+15;0.344018308374;1.2e-11;lsb+17;2.1844E-15;1.3e-18;lsb+17;2.90682203725;1.1e-10;lsb+17;-1.8457E-14;1.1e-17;lsb+17;2.5e+06;8.77e+11;2.1e+33;
2173;J1851-0241;hfs+04;0.43519385185;4.0e-11;hfs+04;7.963E-15;3.0e-18;hfs+04;2.29782657944;2.0e-10;hfs+04;-4.2046E-14;1.5e-17;hfs+04;8.66e+05;1.88e+12;3.8e+33;
2174;B1848+04;bbf84;0.284697472498;3.0e-12;hlk+04;1.089018E-15;1.7e-20;hlk+04;3.51250044908;3.0e-11;hlk+04;-1.343593E-14;2.0e-19;hlk+04;4.14e+06;5.63e+11;1.9e+33;
2175;J1851-06;ccb+20;1.920312;1.3e-05;ccb+20;*;0;*;0.520749;4.0e-06;ccb+20;*;0;*;*;*;*;
2176;J1851-0633;ccb+20;1.92030213052;3.0e-11;clh+20;2.398E-15;5.0e-18;clh+20;0.520751388080;6.0e-12;clh+20;-6.502e-16;1.3e-18;clh+20;1.27e+07;2.17e+12;1.3e+31;
2177;B1848+12;stwd85;1.20530328456;1.1e-10;hlk+04;1.15199E-14;8.0e-19;hlk+04;0.82966670116;7.0e-11;hlk+04;-7.9297E-15;5.0e-19;hlk+04;1.66e+06;3.77e+12;2.6e+32;
2178;J1852+0008;hfs+04;0.467894113075;2.0e-11;hfs+04;5.679E-15;7.0e-18;hfs+04;2.13723569512;9.0e-11;hfs+04;-2.594E-14;3.0e-17;hfs+04;1.31e+06;1.65e+12;2.2e+33;
2179;J1852+0013;hfs+04;0.95775094505;5.0e-11;hfs+04;1.4034E-14;1.2e-17;hfs+04;1.04411277814;5.0e-11;hfs+04;-1.5299E-14;1.2e-17;hfs+04;1.08e+06;3.71e+12;6.3e+32;
2180;B1849+00;cjlm87;2.18019517754;1.5e-10;hlk+04;9.69549E-14;1.5e-18;hlk+04;0.45867453075;3.0e-11;hlk+04;-2.03976E-14;3.0e-19;hlk+04;3.56e+05;1.47e+13;3.7e+32;
2181;J1852+0033;zcl+14;11.55871346;6.0e-08;rvi+14;0.0E-13;1.4e-13;rvi+14;0.0865148188;5.0e-10;rvi+14;-0.0000000000000000;1.1e-15;rvi+14;*;*;*;
2182;J1852+0040;ghs05;0.104912611147;4.0e-12;hg10;8.68E-18;9.0e-20;hg10;9.5317425528;4.0e-10;hg10;-7.89E-16;9.0e-18;hg10;1.92e+08;3.05e+10;3.0e+32;
2183;J1852-0118;hfs+04;0.45147285265;3.0e-11;hfs+04;1.757E-15;1.1e-17;hfs+04;2.21497260384;1.1e-10;hfs+04;-8.62E-15;5.0e-17;hfs+04;4.07e+06;9.01e+11;7.5e+32;
2184;J1852-0127;hfs+04;0.42897892562;3.0e-11;hfs+04;5.149E-15;8.0e-18;hfs+04;2.33111684577;1.1e-10;hfs+04;-2.798E-14;4.0e-17;hfs+04;1.32e+06;1.5e+12;2.6e+33;
2185;J1852+0305;mhl+02;1.3261485670;8.0e-10;mhl+02;1.0E-16;5.3e-16;mhl+02;0.7540633266;4.0e-10;mhl+02;-5.8E-17;3.0e-16;mhl+02;2.06e+08;3.72e+11;1.7e+30;
2186;J1852-0635;hfs+04;0.524156765381;1.4e-11;lbs+20;1.462822E-14;3.0e-20;lbs+20;1.90782618111;5.0e-11;lbs+20;-53.2438E-15;1.0e-19;lbs+20;5.68e+05;2.8e+12;4.0e+33;
2187;J1852-2610;mld+96;0.3363371316200;6.0e-13;hlk+04;8.7706E-17;6.0e-21;hlk+04;2.973207255421;5.0e-12;hlk+04;-7.7532E-16;5.0e-20;hlk+04;6.08e+07;1.74e+11;9.1e+31;
2188;J1853-0004;hfs+04;0.1014371027339;3.0e-13;psj+19;5.57283E-15;6.0e-20;psj+19;9.85832573140;2.0e-11;psj+19;-54.1604E-14;5.0e-18;psj+19;2.88e+05;7.61e+11;2.1e+35;
2189;J1853+0011;hfs+04;0.397889458978;3.0e-12;psj+19;3.352890E-14;1.9e-19;psj+19;2.513260850307;1.5e-11;psj+19;-21.17846E-14;1.2e-18;psj+19;1.88e+05;3.7e+12;2.1e+34;
2190;J1853+0056;mhl+02;0.27557759958;6.0e-11;mhl+02;2.139E-14;4.0e-17;mhl+02;3.6287419642;7.0e-10;mhl+02;-2.816E-13;4.0e-16;mhl+02;2.04e+05;2.46e+12;4.0e+34;
2191;J1853+03;lbh+15;0.58553;0;lbh+15;*;0;*;1.707854;0;lbh+15;*;0;*;*;*;*;
2192;J1853+04;pab+18;1.32065;4.0e-05;pab+18;*;0;*;0.75720;3.0e-05;pab+18;*;0;*;*;*;*;
2193;J1853+0505;hfs+04;0.90513735425;3.0e-11;yws+15;1.28061E-15;1.7e-19;yws+15;1.10480469655;3.0e-11;yws+15;-1.5631E-15;2.0e-19;yws+15;1.12e+07;1.09e+12;6.8e+31;
2194;J1853+0545;kbm+03;0.12640033324309;1.6e-13;ywml10;6.124816E-16;1.6e-21;ywml10;7.91137154739;1.0e-11;ywml10;-3.83351E-14;1.0e-19;ywml10;3.27e+06;2.82e+11;1.2e+34;
2195;J1853-0649;lbr+13;1.048132105087;5.4e-11;lbr+13;1.548E-15;4.4e-17;lbr+13;0.95407820746;5.0e-11;lbr+13;-1.41E-15;5.0e-17;lbr+13;1.07e+07;1.29e+12;5.3e+31;
2196;J1853+0853;lfl+06;3.9146579157;5.0e-10;lfl+06;5.13E-15;7.0e-17;lfl+06;0.25545016232;3.0e-11;lfl+06;-3.35E-16;4.0e-18;lfl+06;1.21e+07;4.54e+12;3.4e+30;
2197;J1853+1303;fsk+04;0.004091797383378764;1.4e-17;abb+18;8.7161E-21;7.0e-25;abb+18;244.3913777505423;8.0e-13;abb+18;-5.2059E-16;4.0e-20;abb+18;7.44e+09;1.91e+08;5.0e+33;
2198;J1854+00;lbh+15;0.76733;0;lbh+15;*;0;*;1.303220;0;lbh+15;*;0;*;*;*;*;
2199;J1854+0306;dcm+09;4.5578200962;1.0e-10;kkl+11;145.125E-15;6.0e-18;kkl+11;0.219403131079;5.0e-12;kkl+11;-6.9860E-15;3.0e-19;kkl+11;4.98e+05;2.6e+13;6.1e+31;
2200;J1854+0317;eklk13;1.3664496471;2.0e-10;eklk13;1.85E-15;1.6e-16;eklk13;0.73182352685;1.1e-10;eklk13;-9.9E-16;9.0e-17;eklk13;1.17e+07;1.61e+12;2.9e+31;
2201;J1854+0319;lsb+17;0.628540823296;1.5e-11;lsb+17;0.0551E-15;6.0e-19;lsb+17;1.59098655638;4.0e-11;lsb+17;-1.395E-16;1.6e-18;lsb+17;1.81e+08;1.88e+11;8.8e+30;
2202;J1854-0524;ccb+20;0.54402080981;1.5e-10;ccb+20;1200E-18;1.0e-20;ccb+20;1.8381649782;6.0e-10;ccb+20;-4.05462E-15;4.0e-20;ccb+20;7.18e+06;8.18e+11;2.9e+32;
2203;B1852+10;sstd86;0.573196989078;2.0e-11;hlk+04;6.3887E-16;1.7e-19;hlk+04;1.74460092962;6.0e-11;hlk+04;-1.9445E-15;5.0e-19;hlk+04;1.42e+07;6.12e+11;1.3e+32;
2204;B1851-14;mlt+78;1.146594847118;1.4e-11;hlk+04;4.16118E-15;1.0e-19;hlk+04;0.872147648765;1.0e-11;hlk+04;-3.16517E-15;7.0e-20;hlk+04;4.37e+06;2.21e+12;1.1e+32;
2205;J1854-1557;bbj+11;3.4531211813;7.0e-10;bbb+12;4.52E-15;4.0e-17;bbb+12;0.28959308043;6.0e-11;bbb+12;-3.79E-16;4.0e-18;bbb+12;1.21e+07;4e+12;4.3e+30;
2206;J1855+0205;nab+13;0.2468167699732;9.0e-13;nab+13;0.06466E-15;7.0e-20;nab+13;4.051588553357;1.5e-11;nab+13;-1.0614E-15;1.2e-18;nab+13;6.05e+07;1.28e+11;1.7e+32;
2207;J1855+0306;lsb+17;1.63356517930;1.8e-10;lsb+17;6.971E-15;8.0e-18;lsb+17;0.61215800427;7.0e-11;lsb+17;-2.612E-15;3.0e-18;lsb+17;3.71e+06;3.41e+12;6.3e+31;
2208;J1855+0307;hfs+04;0.84534757461;4.0e-11;hfs+04;1.8110E-14;1.0e-17;hfs+04;1.18294537068;5.0e-11;hfs+04;-2.5342E-14;1.3e-17;hfs+04;7.4e+05;3.96e+12;1.2e+33;
2209;J1855+0422;mhl+02;1.6781063295;3.0e-10;mhl+02;9.3E-16;9.0e-17;mhl+02;0.59590979571;9.0e-11;mhl+02;-3.3E-16;3.0e-17;mhl+02;2.86e+07;1.26e+12;7.8e+30;
2210;J1855+0527;kel+09;1.39348448168;8.0e-11;kel+09;267.207E-15;8.0e-18;kel+09;0.71762550150;5.0e-11;kel+09;-1.37608E-13;5.0e-18;kel+09;8.26e+04;1.95e+13;3.9e+33;
2211;J1855+0700;hfs+04;0.258684648071;7.0e-12;hfs+04;7.516E-16;6.0e-19;hfs+04;3.86571065372;9.0e-11;hfs+04;-1.1231E-14;8.0e-18;hfs+04;5.45e+06;4.46e+11;1.7e+33;
2212;J1855-0941;ebvb01;0.34540115992;4.0e-11;ebvb01;2.40E-16;3.0e-18;ebvb01;2.8951842554;4.0e-10;ebvb01;-2.01E-15;3.0e-17;ebvb01;2.28e+07;2.91e+11;2.3e+32;
2213;J1855-1436;san16;0.003594091653371;1.0e-15;san16;10.9E-21;1.0e-22;san16;278.23441816295;8.0e-11;san16;-8.44E-16;8.0e-18;san16;5.22e+09;2e+08;9.3e+33;
2214;J1856+0102;hfs+04;0.620217115135;2.0e-11;hfs+04;1.222E-15;3.0e-18;hfs+04;1.61233860788;5.0e-11;hfs+04;-3.176E-15;6.0e-18;hfs+04;8.04e+06;8.81e+11;2.0e+32;
2215;B1853+01;wcd91;0.26743960987;7.0e-11;hlk+04;2.083598E-13;6.0e-19;hlk+04;3.7391619008;9.0e-10;hlk+04;-2.913147E-12;8.0e-18;hlk+04;2.03e+04;7.55e+12;4.3e+35;
2216;J1856+0245;hng+08;0.08090668906;4.0e-11;nab+13;62.117E-15;4.0e-18;nab+13;12.359917476;7.0e-09;nab+13;-9.4895E-12;7.0e-16;nab+13;2.06e+04;2.27e+12;4.6e+36;
2217;J1856+0404;mhl+02;0.42025215518;9.0e-11;mhl+02;3.7E-17;5.7e-17;mhl+02;2.3795237875;5.0e-10;mhl+02;-2.1E-16;3.2e-16;mhl+02;1.8e+08;1.26e+11;2.0e+31;
2218;J1856-0526;lfl+06;0.370483417429;7.0e-12;lfl+06;1.6975E-15;9.0e-19;lfl+06;2.69917613841;5.0e-11;lfl+06;-1.2367E-14;6.0e-18;lfl+06;3.46e+06;8.02e+11;1.3e+33;
2219;J1856+09;pab+18;2.17071;1.1e-04;pab+18;*;0;*;0.46068;3.0e-05;pab+18;*;0;*;*;*;*;
2220;J1856-3754;tm07;7.05520287;3.0e-08;vk08;2.98E-14;7.0e-16;vk08;0.1417393685;5.0e-10;vk08;-5.98E-16;1.4e-17;vk08;3.76e+06;1.47e+13;3.3e+30;
2221;B1854+00;moh83;0.356928998022;4.0e-12;hlk+04;5.459E-17;3.0e-20;hlk+04;2.80167766010;3.0e-11;hlk+04;-4.2846E-16;1.7e-19;hlk+04;1.04e+08;1.41e+11;4.7e+31;
2222;J1857+0143;hfs+04;0.139760064515;4.0e-12;hfs+04;3.11674E-14;1.2e-18;hfs+04;7.15511976520;1.7e-10;hfs+04;-1.59564E-12;6.0e-17;hfs+04;7.1e+04;2.11e+12;4.5e+35;
2223;J1857+0210;mhl+02;0.63098305833;6.0e-11;mhl+02;1.4034E-14;2.0e-17;mhl+02;1.58482860482;1.3e-10;mhl+02;-3.525E-14;5.0e-17;mhl+02;7.12e+05;3.01e+12;2.2e+33;
2224;B1855+02;cl86;0.415823055263;7.0e-12;hlk+04;4.027190E-14;6.0e-20;hlk+04;2.40486905991;4.0e-11;hlk+04;-2.329083E-13;3.0e-19;hlk+04;1.64e+05;4.14e+12;2.2e+34;
2225;J1857+0300;lsb+17;0.77267804332;4.0e-11;lsb+17;2.6489E-15;1.6e-18;lsb+17;1.29420009879;7.0e-11;lsb+17;-4.437E-15;3.0e-18;lsb+17;4.62e+06;1.45e+12;2.3e+32;
2226;J1857+0526;kbm+03;0.349951177522;4.0e-12;kbm+03;6.9311E-15;8.0e-19;kbm+03;2.85754146359;4.0e-11;kbm+03;-5.6596E-14;7.0e-18;kbm+03;8e+05;1.58e+12;6.4e+33;
2227;J1857+0809;hfs+04;0.502923870516;1.3e-11;hfs+04;4.7374E-15;8.0e-19;hfs+04;1.98837251247;5.0e-11;hfs+04;-1.8730E-14;3.0e-18;hfs+04;1.68e+06;1.56e+12;1.5e+33;
2228;B1855+09;srs+86;0.00536210046612603;9.0e-17;abb+18;1.78395E-20;9.0e-25;abb+18;186.494081249931;3.0e-12;abb+18;-6.2046E-16;3.0e-20;abb+18;4.76e+09;3.13e+08;4.6e+33;
2229;J1857-1027;ebvb01;3.6872190477;3.0e-10;ebvb01;1.055E-14;6.0e-17;ebvb01;0.27120710407;3.0e-11;ebvb01;-7.76E-16;5.0e-18;ebvb01;5.54e+06;6.31e+12;8.3e+30;
2230;J1858+02;lbh+15;0.19765;0;lbh+15;*;0;*;5.059449;0;lbh+15;*;0;*;*;*;*;
2231;J1858+0215;mhl+02;0.7458280320;3.0e-10;mhl+02;4.61E-15;9.0e-17;mhl+02;1.3407916532;4.0e-10;mhl+02;-8.29E-15;1.5e-16;mhl+02;2.56e+06;1.88e+12;4.4e+32;
2232;J1858+0241;hfs+04;4.6932329333;1.2e-09;hfs+04;2.432E-14;9.0e-17;hfs+04;0.21307273988;5.0e-11;hfs+04;-1.104E-15;4.0e-18;hfs+04;3.06e+06;1.08e+13;9.3e+30;
2233;J1858+0319;lsb+17;0.86744387855;4.0e-11;lsb+17;0.1025E-15;1.5e-18;lsb+17;1.15281233141;6.0e-11;lsb+17;-1.362E-16;2.0e-18;lsb+17;1.34e+08;3.02e+11;6.2e+30;
2234;J1858+0346;nab+13;0.256843797950;5.0e-12;nab+13;2.0401E-15;4.0e-19;nab+13;3.89341696386;8.0e-11;nab+13;-3.0925E-14;7.0e-18;nab+13;1.99e+06;7.33e+11;4.8e+33;
2235;J1858-0736;kek+13;0.551058591;2.0e-09;kek+13;5.06E-15;7.0e-17;kek+13;1.814689066;7.0e-09;kek+13;-1.67E-14;3.0e-16;kek+13;1.73e+06;1.69e+12;1.2e+33;
2236;J1858-2216;san16;0.0023840129012370;2.0e-16;san16;3.8E-21;1.0e-22;san16;419.46081729722;4.0e-11;san16;-6.69E-16;1.8e-17;san16;9.94e+09;9.63e+07;1.1e+34;
2237;J1859+00;cnst96;0.559634;3.0e-06;cnst96;*;0;*;1.786882;1.0e-05;cnst96;*;0;*;*;*;*;
2238;J1859+0601;hfs+04;1.04431270179;1.5e-10;hfs+04;2.551E-14;4.0e-17;hfs+04;0.95756759282;1.3e-10;hfs+04;-2.339E-14;3.0e-17;hfs+04;6.49e+05;5.22e+12;8.8e+32;
2239;J1859+0603;lsb+17;0.508561079708;1.7e-11;lsb+17;1.5895E-15;1.0e-18;lsb+17;1.96633214751;7.0e-11;lsb+17;-6.146E-15;4.0e-18;lsb+17;5.07e+06;9.1e+11;4.8e+32;
2240;J1859+07;pab+18;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;
2241;J1859+1526;nft95;0.933971582308;1.9e-11;cn95;3.9255E-15;6.0e-19;cn95;1.07069638835;3.0e-11;cn95;-4.5002E-15;7.0e-19;cn95;3.77e+06;1.94e+12;1.9e+32;
2242;J1859+7654;slr+14;1.393729135204;2.0e-11;lsk+18;5.1E-17;1.6e-17;lsk+18;0.71749953039;1.0e-11;lsk+18;-2.6E-17;8.0e-18;lsk+18;4.37e+08;2.68e+11;7.4e+29;
2243;J1900-0051;hfs+04;0.385194094862;6.0e-12;hfs+04;1.421E-16;9.0e-19;hfs+04;2.59609379619;4.0e-11;hfs+04;-9.58E-16;6.0e-18;hfs+04;4.29e+07;2.37e+11;9.8e+31;
2244;J1900-0134;qpl+19;1.83233207264;3.0e-11;clh+20;3.0490E-14;5.0e-18;clh+20;0.545752603980;8.0e-12;clh+20;-9.0812e-15;1.3e-18;clh+20;9.52e+05;7.56e+12;2.0e+32;
2245;J1900+0227;mhl+02;0.37426157516;3.0e-11;mhl+02;5.705E-15;1.2e-17;mhl+02;2.67192804814;1.8e-10;mhl+02;-4.073E-14;8.0e-17;mhl+02;1.04e+06;1.48e+12;4.3e+33;
2246;J1900+0308;csl+12;0.004909239016418;5.0e-15;csl+12;5.9E-21;3.0e-22;csl+12;203.6975581461;2.0e-10;csl+12;-2.45E-16;9.0e-18;csl+12;1.32e+10;1.72e+08;2.0e+33;
